fighter_profile,name,nickname,dob,height,weight,reach,stance,fight_link,event,event_link,event_date,fighter_name,opponent_name,opponent_profile,fighter_result,opponent_result,fight_type,championship,perf_of_night,fight_of_night,sub_of_night,ko_of_night,method,round,time,fight_type.1,fight_desc
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/6bcea00473e43a59,UFC 178: Johnson vs Cariaso,http://www.ufcstats.com/event-details/3bb030257966b022,"September 27, 2014",Conor McGregor,Dustin Poirier,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0,W,L,Featherweight Bout,-,1,-,-,-,KO/TKO,1,1:46,3 Rnd (5-5-5),Punch to Head At Distance
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/1e603e6aa6d1a750,UFC Fight Night: McGregor vs Brandao,http://www.ufcstats.com/event-details/073eee4e62f0d988,"July 19, 2014",Conor McGregor,Diego Brandao,http://www.ufcstats.com/fighter-details/c2e3e67b5911bfb7,W,L,Featherweight Bout,-,1,-,-,-,KO/TKO,1,4:05,5 Rnd (5-5-5-5-5),Punch to Head At Distance
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/5d839e4eda09d6e4,UFC Fight Night: Shogun vs Sonnen,http://www.ufcstats.com/event-details/cf1a88371c8cb690,"August 17, 2013",Conor McGregor,Max Holloway,http://www.ufcstats.com/fighter-details/150ff4cc642270b9,W,L,Featherweight Bout,-,-,-,-,-,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Rita 27 - 30. Tony Weeks 27 - 30. Ryan Shea 26 - 30.
http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2,Conor McGregor,The Notorious,"Jul 14, 1988","5' 9""",155 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/24393bea0c4cf49a,UFC on FUEL TV: Mousasi vs Latifi,http://www.ufcstats.com/event-details/6291ac0a3726732f,"April 06, 2013",Conor McGregor,Marcus Brimage,http://www.ufcstats.com/fighter-details/81801f57bd0a7c41,W,L,Featherweight Bout,-,-,-,-,1,KO/TKO,1,1:07,3 Rnd (5-5-5),Punches to Head At Distance
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/c483ac06b1e33c3b,UFC 286: Edwards vs. Usman 3,http://www.ufcstats.com/event-details/e4bb7e483c4ad318,"March 18, 2023",Leon Edwards,Kamaru Usman,http://www.ufcstats.com/fighter-details/f1b2aa7853d1ed6e,,,UFC Welterweight Title Bout,1,-,-,-,-,-,-,-,-,-
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/f70c817388602681,UFC 278: Usman vs. Edwards,http://www.ufcstats.com/event-details/4f853e98886283cf,"August 20, 2022",Leon Edwards,Kamaru Usman,http://www.ufcstats.com/fighter-details/f1b2aa7853d1ed6e,W,L,UFC Welterweight Title Bout,1,1,-,-,-,KO/TKO,5,4:04,5 Rnd (5-5-5-5-5),Kick to Head At Distance
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/b070b8c2c489d838,UFC 263: Adesanya vs. Vettori 2,http://www.ufcstats.com/event-details/0b64d0fed453ef7f,"June 12, 2021",Leon Edwards,Nate Diaz,http://www.ufcstats.com/fighter-details/8355922d564b152c,W,L,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Junichiro Kamijo 46 - 49. Derek Cleary 46 - 49. Brad Frank 46 - 49.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/2c13b938e0f8190b,UFC Fight Night: Edwards vs. Muhammad,http://www.ufcstats.com/event-details/8c90c1563972e44d,"March 13, 2021",Leon Edwards,Belal Muhammad,http://www.ufcstats.com/fighter-details/b1b0729d27936f2f,NC,NC,Welterweight Bout,-,-,-,-,-,Could Not Continue,2,0:18,5 Rnd (5-5-5-5-5),Eye Poke by Edwards
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/816662e622987a14,UFC Fight Night: Dos Anjos vs. Edwards,http://www.ufcstats.com/event-details/9e0f28d1f639ad73,"July 20, 2019",Leon Edwards,Rafael Dos Anjos,http://www.ufcstats.com/fighter-details/6a2f7c151031653d,W,L,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Gino Garcia 45 - 50. Perry Hillin 46 - 49. Marcos Rosales 46 - 49.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/e068f14acd47ed69,UFC Fight Night: Till vs. Masvidal,http://www.ufcstats.com/event-details/80eacd4da0617c57,"March 16, 2019",Leon Edwards,Gunnar Nelson,http://www.ufcstats.com/fighter-details/fd55393021a8c255,W,L,Welterweight Bout,-,-,-,-,-,Decision - Split,3,5:00,3 Rnd (5-5-5),Howard Hughes 29 - 28. Anders Ohlsson 27 - 29. Andy Roberts 28 - 29.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/28c70663b99560a8,UFC Fight Night: Cowboy vs. Edwards,http://www.ufcstats.com/event-details/ac5f67109accb482,"June 23, 2018",Leon Edwards,Donald Cerrone,http://www.ufcstats.com/fighter-details/1d00756835ca67c9,W,L,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Howie Booth 47 - 48. Evan Field 47 - 48. Charlie Keech 47 - 48.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/e84fa12d87993ec5,UFC Fight Night: Werdum vs. Volkov,http://www.ufcstats.com/event-details/eed2b71d77d95416,"March 17, 2018",Leon Edwards,Peter Sobotta,http://www.ufcstats.com/fighter-details/1fcfc3709fe58151,W,L,Welterweight Bout,-,-,-,-,-,KO/TKO,3,4:59,3 Rnd (5-5-5),Punch to Head On Ground
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/7303ae36077411d9,UFC Fight Night: Volkov vs. Struve,http://www.ufcstats.com/event-details/a3244e3238541482,"September 02, 2017",Leon Edwards,Bryan Barberena,http://www.ufcstats.com/fighter-details/a331233f597090a5,W,L,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 28 - 29. Howard Hughes 28 - 29. Paul Sutherland 28 - 29.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/88ce808e4e604180,UFC Fight Night: Manuwa vs. Anderson,http://www.ufcstats.com/event-details/c0231720fe516994,"March 18, 2017",Leon Edwards,Vicente Luque,http://www.ufcstats.com/fighter-details/6d4b63c767106d3a,W,L,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Collett 28 - 29. Andy Roberts 28 - 29. Paul Sutherland 28 - 29.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/47dfd70b5780d68a,UFC 204: Bisping vs. Henderson,http://www.ufcstats.com/event-details/154a6b3ffae264cd,"October 08, 2016",Leon Edwards,Albert Tumenov,http://www.ufcstats.com/fighter-details/ff6a1f63c254127e,W,L,Welterweight Bout,-,-,-,-,-,Submission,3,3:01,3 Rnd (5-5-5),Rear Naked Choke
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/6ccf478dca83757e,UFC Fight Night: Overeem vs Arlovski,http://www.ufcstats.com/event-details/a314687f372b2cec,"May 08, 2016",Leon Edwards,Dominic Waters,http://www.ufcstats.com/fighter-details/2de91c2244ad7e89,W,L,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Collett 27 - 30. Peter Lavery 27 - 30. Paul Sutherland 27 - 30.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/2f0bfdc3c325662d,UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.ufcstats.com/event-details/80d918336163b80c,"December 19, 2015",Leon Edwards,Kamaru Usman,http://www.ufcstats.com/fighter-details/f1b2aa7853d1ed6e,L,W,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Don Balas 28 - 29. Barry Luxenberg 27 - 30. Sal D'amato 28 - 29.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/979538ff8ae1ccd5,UFC Fight Night: Bisping vs Leites,http://www.ufcstats.com/event-details/ef7fa30364cbe7f2,"July 18, 2015",Leon Edwards,Pawel Pawlak,http://www.ufcstats.com/fighter-details/9310418684bc896f,W,L,Welterweight Bout,-,-,-,-,-,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Garth Harriman 27 - 30. Andy Roberts 27 - 30. Dean Weir 27 - 30.
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/ec0a1c09d1b113b8,UFC Fight Night: Gonzaga vs Cro Cop 2,http://www.ufcstats.com/event-details/5de61b03868035ff,"April 11, 2015",Leon Edwards,Seth Baczynski,http://www.ufcstats.com/fighter-details/fd5b6598a3b70c0a,W,L,Welterweight Bout,-,1,-,-,-,KO/TKO,1,0:08,3 Rnd (5-5-5),Punch to Head At Distance
http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Leon Edwards,Rocky,"Aug 25, 1991","6' 2""",170 lbs.,"74""",Southpaw,http://www.ufcstats.com/fight-details/a3480aa7bdc63c11,UFC Fight Night 56: Shogun vs Saint Preux,http://www.ufcstats.com/event-details/6ca68b636fbc1f18,"November 08, 2014",Leon Edwards,Claudio Silva,http://www.ufcstats.com/fighter-details/6f7c616b98e18c29,L,W,Welterweight Bout,-,-,-,-,-,Decision - Split,3,5:00,3 Rnd (5-5-5),Guilherme Bravo 29 - 28. Derek Cleary 28 - 29. Roy Silbert 28 - 29.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/fe143cb868adfded,UFC 287: Pereira vs. Adesanya 2,http://www.ufcstats.com/event-details/3dc3022232b79c7a,"April 08, 2023",Israel Adesanya,Alex Pereira,http://www.ufcstats.com/fighter-details/e5549c82bfb5582d,,,UFC Middleweight Title Bout,1,-,-,-,-,-,-,-,-,-
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/04f32bb0c0d3a8cc,UFC 281: Adesanya vs. Pereira,http://www.ufcstats.com/event-details/b3b6e80b7d5f8f0d,"November 12, 2022",Israel Adesanya,Alex Pereira,http://www.ufcstats.com/fighter-details/e5549c82bfb5582d,L,W,UFC Middleweight Title Bout,1,1,-,-,-,KO/TKO,5,2:01,5 Rnd (5-5-5-5-5),Punches to Head At Distance
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/a7eaf7b101166d3e,UFC 276: Adesanya vs. Cannonier,http://www.ufcstats.com/event-details/4a9e305633f3ef47,"July 02, 2022",Israel Adesanya,Jared Cannonier,http://www.ufcstats.com/fighter-details/13a0275fa13c4d26,W,L,UFC Middleweight Title Bout,1,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Derek Cleary 46 - 49. Junichiro Kamijo 46 - 49. Sal D'amato 45 - 50.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/ca8f73d038c4d6e7,UFC 271: Adesanya vs. Whittaker 2,http://www.ufcstats.com/event-details/cbb682f5fcc44bfc,"February 12, 2022",Israel Adesanya,Robert Whittaker,http://www.ufcstats.com/fighter-details/e1147d3d2dabe1ce,W,L,UFC Middleweight Title Bout,1,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jacob Montalvo 47 - 48. Doug Crosby 47 - 48. Mike Beltran 46 - 49.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/6cd44e1b2d093ea4,UFC 263: Adesanya vs. Vettori 2,http://www.ufcstats.com/event-details/0b64d0fed453ef7f,"June 12, 2021",Israel Adesanya,Marvin Vettori,http://www.ufcstats.com/fighter-details/7acbb0972e75281a,W,L,UFC Middleweight Title Bout,1,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Derek Cleary 45 - 50. Sal D'amato 45 - 50. Chris Flores 45 - 50.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/7de9867b7cc2b1b1,UFC 259: Blachowicz vs. Adesanya,http://www.ufcstats.com/event-details/6e2b1d631832921d,"March 06, 2021",Israel Adesanya,Jan Blachowicz,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8,L,W,UFC Light Heavyweight Title Bout,1,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Sal D'amato 46 - 49. Derek Cleary 45 - 49. Junichiro Kamijo 45 - 49.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/fd76b75c28dc247a,UFC 253: Adesanya vs. Costa,http://www.ufcstats.com/event-details/e69c5ce12f4e762b,"September 26, 2020",Israel Adesanya,Paulo Costa,http://www.ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,W,L,UFC Middleweight Title Bout,1,1,-,-,-,KO/TKO,2,3:59,5 Rnd (5-5-5-5-5),Punch to Head At Distance
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/b46f2f007b622bce,UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/event-details/0b5b6876c2a4723f,"March 07, 2020",Israel Adesanya,Yoel Romero,http://www.ufcstats.com/fighter-details/f77c68bb4be8516d,W,L,UFC Middleweight Title Bout,1,-,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Chris Lee 46 - 49. Sal D'amato 47 - 48. Ron McCarthy 47 - 48.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/2556b7520536ce1d,UFC 243: Whittaker vs. Adesanya,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,"October 05, 2019",Israel Adesanya,Robert Whittaker,http://www.ufcstats.com/fighter-details/e1147d3d2dabe1ce,W,L,UFC Middleweight Title Bout,1,1,-,-,-,KO/TKO,2,3:33,5 Rnd (5-5-5-5-5),Punch to Head At Distance
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/9bfda7c26578aaac,UFC 236: Holloway vs. Poirier 2,http://www.ufcstats.com/event-details/b0550072e5f0afa7,"April 13, 2019",Israel Adesanya,Kelvin Gastelum,http://www.ufcstats.com/fighter-details/8c0580d4fff106c1,W,L,UFC Interim Middleweight Title Bout,1,-,1,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mike Bell 46 - 48. Anthony Maness 46 - 48. Ken Coffey 46 - 48.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/4eb91cfc892a108e,UFC 234: Adesanya vs. Silva,http://www.ufcstats.com/event-details/b5882371e2a3900d,"February 09, 2019",Israel Adesanya,Anderson Silva,http://www.ufcstats.com/fighter-details/1f454354805b6f75,W,L,Middleweight Bout,-,-,1,-,-,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Garth Harriman 28 - 29. Albert Shen 27 - 30. Charlie Keech 27 - 30.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/e4e1d12441b90866,UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,"November 03, 2018",Israel Adesanya,Derek Brunson,http://www.ufcstats.com/fighter-details/b1a3e0aca758b322,W,L,Middleweight Bout,-,1,-,-,-,KO/TKO,1,4:51,3 Rnd (5-5-5),Punches to Head At Distance
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/247f9e56965a1c07,The Ultimate Fighter: Undefeated Finale,http://www.ufcstats.com/event-details/8215e4fe24e8e81b,"July 06, 2018",Israel Adesanya,Brad Tavares,http://www.ufcstats.com/fighter-details/0c6d9ea8306c029e,W,L,Middleweight Bout,-,1,-,-,-,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Chris Lee 46 - 49. Derek Cleary 45 - 50. Sal D'amato 45 - 50.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/b8b9a8e504d51ba5,UFC Fight Night: Poirier vs. Gaethje,http://www.ufcstats.com/event-details/620be7e0712d431b,"April 14, 2018",Israel Adesanya,Marvin Vettori,http://www.ufcstats.com/fighter-details/7acbb0972e75281a,W,L,Middleweight Bout,-,-,-,-,-,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Hayes 28 - 29. Chris Lee 29 - 28. Derek Cleary 28 - 29.
http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"Jul 22, 1989","6' 4""",185 lbs.,"80""",Switch,http://www.ufcstats.com/fight-details/1cd5d5e271b646a3,UFC 221: Romero vs. Rockhold,http://www.ufcstats.com/event-details/15515e797aedc137,"February 10, 2018",Israel Adesanya,Rob Wilkinson,http://www.ufcstats.com/fighter-details/826475cc758e60e6,W,L,Middleweight Bout,-,1,-,-,-,KO/TKO,2,3:37,3 Rnd (5-5-5),Punches to Head At Distance
http://www.ufcstats.com/fighter-details/c739c2995a275314,Yanal Ashmoz,Red Fox,--,--,155 lbs.,--,-,http://www.ufcstats.com/fight-details/9f8cf5ac0807d64e,UFC 286: Edwards vs. Usman 3,http://www.ufcstats.com/event-details/e4bb7e483c4ad318,"March 18, 2023",Yanal Ashmoz,Sam Patterson,http://www.ufcstats.com/fighter-details/8b6e5dc2ba1edbe7,,,Lightweight Bout,-,-,-,-,-,-,-,-,-,-
http://www.ufcstats.com/fighter-details/05866d8c3a321856,Marvin Eastman,The Beastman,"Jun 08, 1971","5' 9""",185 lbs.,"73""",Orthodox,http://www.ufcstats.com/fight-details/98a1121ffbc47657,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,http://www.ufcstats.com/event-details/2299605af59fd309,"June 21, 2008",Marvin Eastman,Drew McFedries,http://www.ufcstats.com/fighter-details/1fd4fbdcc67de844,L,W,Middleweight Bout,-,-,-,-,1,KO/TKO,1,1:08,3 Rnd (5-5-5),Punches to Head At Distance
